portfolio_name,expected_return,variance,volatility,net_exposure,long_exposure,gross_exposure,short_exposure,target_return,top_long_positions,top_short_positions,client_ready,weighted_long_fee_pct,utility,max_drawdown,LionGlobal SGD Money Market A Acc SGD,United SGD Fund B Acc SGD,United High Grade Corporate Bond A Acc SGD,AB FCP I Global High Yield A2 SGD-H,Amova Singapore Equity SGD (formerly Nikko AM),Infinity US 500 Stock Index SGD,Fidelity World A-ACC-SGD,Schroder ISF Asian Opportunities A Acc SGD,First Sentier Global Property Securities A Acc SGD,Blackrock World Gold Fund A2 SGD-H,A
Optimal Portfolio no_short,0.07652750768312984,0.004592481847828532,0.06776785261337806,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,,United SGD Fund B Acc SGD (47.82%); Infinity US 500 Stock Index SGD (27.68%); Amova Singapore Equity SGD (formerly Nikko AM) (19.72%),N/A,True,0.5208495714819862,0.04711266144778809,-0.12099759717353775,0.0,0.47815096970912974,0.0,1.2663223040535527e-17,0.1971995740518342,0.27684429606212974,0.0,6.312707844181203e-18,0.0,0.04780516017690644,12.81
Optimal Portfolio no_short,0.07643202956592753,0.004577573564927766,0.06765776795703332,1.0,1.0,1.0,0.0,,United SGD Fund B Acc SGD (47.91%); Infinity US 500 Stock Index SGD (27.63%); Amova Singapore Equity SGD (formerly Nikko AM) (19.68%),N/A,True,0.5205588278354192,0.047089783014740545,-0.12078761169736663,0.0,0.4791152968384359,0.0,1.2263466639972362e-17,0.1967917129477747,0.27631822565194286,0.0,5.47773158026487e-18,0.0,0.04777476456184653,12.82
Optimal Portfolio no_short,0.07643202956592753,0.004577573564927766,0.06765776795703332,1.0,1.0,1.0,0.0,,United SGD Fund B Acc SGD (47.91%); Infinity US 500 Stock Index SGD (27.63%); Amova Singapore Equity SGD (formerly Nikko AM) (19.68%),N/A,True,0.5205588278354192,0.04706689514691591,-0.12078761169736663,0.0,0.4791152968384359,0.0,1.2263466639972362e-17,0.1967917129477747,0.27631822565194286,0.0,5.47773158026487e-18,0.0,0.04777476456184653,12.83
Optimal Portfolio no_short,0.07635044355279134,0.004564855323442892,0.0675637130673181,1.0,1.0,1.0,0.0,,United SGD Fund B Acc SGD (47.99%); Infinity US 500 Stock Index SGD (27.60%); Amova Singapore Equity SGD (formerly Nikko AM) (19.65%),N/A,True,0.5201729969043939,0.04704407237628798,-0.12062181621964474,0.0,0.47989547165350366,1.818682799917824e-18,0.0,0.196517344742554,0.2759671283177074,0.0,0.0,2.6985271705933096e-17,0.04762005528623498,12.84
Optimal Portfolio no_short,0.07635044355279134,0.004564855323442892,0.0675637130673181,1.0,1.0,1.0,0.0,,United SGD Fund B Acc SGD (47.99%); Infinity US 500 Stock Index SGD (27.60%); Amova Singapore Equity SGD (formerly Nikko AM) (19.65%),N/A,True,0.5201729969043939,0.047021248099670766,-0.12062181621964474,0.0,0.47989547165350366,1.818682799917824e-18,0.0,0.196517344742554,0.2759671283177074,0.0,0.0,2.6985271705933096e-17,0.04762005528623498,12.85
Optimal Portfolio no_short,0.07625565002121767,0.004550100030871956,0.06745442929023976,1.0,1.0,1.0,0.0,,United SGD Fund B Acc SGD (48.09%); Infinity US 500 Stock Index SGD (27.54%); Amova Singapore Equity SGD (formerly Nikko AM) (19.61%),N/A,True,0.5198839626677968,0.046998506822711006,-0.1204133367131085,1.3419552366309564e-18,0.48085277095884826,0.0,1.2805643609779277e-17,0.1961125784310231,0.27544511697224766,0.0,8.273001947396577e-18,0.0,0.04758953363788107,12.86
Optimal Portfolio no_short,0.07625565002121767,0.004550100030871956,0.06745442929023976,1.0,1.0,1.0,0.0,,United SGD Fund B Acc SGD (48.09%); Infinity US 500 Stock Index SGD (27.54%); Amova Singapore Equity SGD (formerly Nikko AM) (19.61%),N/A,True,0.5198839626677968,0.04697575632255664,-0.1204133367131085,1.3419552366309564e-18,0.48085277095884826,0.0,1.2805643609779277e-17,0.1961125784310231,0.27544511697224766,0.0,8.273001947396577e-18,0.0,0.04758953363788107,12.87
Optimal Portfolio no_short,0.07617448029386721,0.004537486013749559,0.06736086411076954,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0,,United SGD Fund B Acc SGD (48.16%); Infinity US 500 Stock Index SGD (27.51%); Amova Singapore Equity SGD (formerly Nikko AM) (19.58%),N/A,True,0.5195006257489637,0.04695307036532005,-0.12024831175914918,1.450972358648682e-17,0.4816291263508436,1.139131400042207e-17,0.0,0.19583935910489908,0.27509541625720724,5.913882696436167e-18,8.362206644289748e-18,1.4505894668868384e-17,0.04743609828705002,12.88
Optimal Portfolio no_short,0.07617448029386721,0.004537486013749559,0.06736086411076954,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0,,United SGD Fund B Acc SGD (48.16%); Infinity US 500 Stock Index SGD (27.51%); Amova Singapore Equity SGD (formerly Nikko AM) (19.58%),N/A,True,0.5195006257489637,0.0469303829352513,-0.12024831175914918,1.450972358648682e-17,0.4816291263508436,1.139131400042207e-17,0.0,0.19583935910489908,0.27509541625720724,5.913882696436167e-18,8.362206644289748e-18,1.4505894668868384e-17,0.04743609828705002,12.89
Optimal Portfolio no_short,0.07608036454534163,0.004522881705855076,0.06725237323585745,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,,United SGD Fund B Acc SGD (48.26%); Infinity US 500 Stock Index SGD (27.46%); Amova Singapore Equity SGD (formerly Nikko AM) (19.54%),N/A,True,0.5192132808384605,0.046907777542576384,-0.12004132370334852,1.1359477002183106e-17,0.4825794670139339,0.0,1.1056119686917168e-17,0.19543765676919225,0.2745774268490676,0.0,0.0,2.441024067993836e-17,0.04740544936780634,12.9
